date,load_AT,load_BE,load_FRA,load_GER,load_NL
2019-01-06 15:00:00,6673,9795.75,65300,50708.5,15603
2019-01-06 16:00:00,7002,9868.75,64000,52368.75,15854.5
2019-01-06 17:00:00,7366,10626.5,66100,55492,16441
2019-01-06 18:00:00,7392,10901,71000,56097.75,15788.75
2019-01-06 19:00:00,7118,10717.25,73450,54326.75,15195.5
2019-01-06 20:00:00,6806,10369,71800,52253,14755.25
2019-01-06 21:00:00,6438,9962.5,69150,50847,14252.25
2019-01-06 22:00:00,6511,10020.75,67700,50257.5,13480.75
2019-01-06 23:00:00,6138,9992.25,70750,47445,12643.75
2019-01-07 00:00:00,6305,9378.5,68400,44560,12078.75
2019-01-07 01:00:00,6036,9210.75,65900,43125.25,11605.25
2019-01-07 02:00:00,5930,8888.75,65600,42637,11240
2019-01-07 03:00:00,5812,8674.5,62500,42807.25,11170.75
2019-01-07 04:00:00,5950,8779,61200,44374.25,11182.25
2019-01-07 05:00:00,6551,9356.5,63800,47863,11709
2019-01-07 06:00:00,7416,10669.25,69800,55306.25,12992.5
2019-01-07 07:00:00,8268,11836.5,78350,60708.5,14827.5
2019-01-07 08:00:00,8645,12378.25,83000,63440.75,16565
2019-01-07 09:00:00,8810,12455.5,83200,63898.75,17366
2019-01-07 10:00:00,8897,12435.75,83400,64796.75,17557.5
2019-01-07 11:00:00,8913,12456.5,83400,66181.75,17512
2019-01-07 12:00:00,8760,12204.75,83450,65745.75,17242.5
2019-01-07 13:00:00,8652,12186.25,82700,65189.25,17051.25
2019-01-07 14:00:00,8566,12004.75,80550,64178.75,16992.25
2019-01-07 15:00:00,8597,12023,77450,63666.75,17108
2019-01-07 16:00:00,8887,12165.25,76050,62594.25,17405.25
2019-01-07 17:00:00,9230,12833,77650,63416.75,17783
2019-01-07 18:00:00,9109,12831.75,81350,63434,16599.5
2019-01-07 19:00:00,8611,12258.25,82300,62217.25,15733
2019-01-07 20:00:00,8054,11694,78300,59902.25,15080
2019-01-07 21:00:00,7511,11087.75,73650,57865.5,14161.75
2019-01-07 22:00:00,7376,11093.5,71150,55319.25,13193.5
2019-01-07 23:00:00,6895,10962.25,73750,51227.5,12494.25
2019-01-08 00:00:00,6305,10456.5,70400,51472.75,11795.5
2019-01-08 01:00:00,6036,10062.25,67500,49815,11359
2019-01-08 02:00:00,5930,9702.25,66650,49241.75,10921.5
2019-01-08 03:00:00,5812,9497.25,63450,49512.25,10707
2019-01-08 04:00:00,5950,9601.75,62000,50572.75,10558
2019-01-08 05:00:00,6551,10039.25,63750,53273,10767.75
2019-01-08 06:00:00,7416,11122,68800,59784.75,11426.25
2019-01-08 07:00:00,8268,12054.25,75950,65046,12529
2019-01-08 08:00:00,8645,12469.75,79500,67351,13746.5
2019-01-08 09:00:00,8810,12443.5,79400,67554.75,14321
2019-01-08 10:00:00,8897,12324,79500,68111.25,14312.75
2019-01-08 11:00:00,8913,12327.75,79550,68876,14303.75
2019-01-08 12:00:00,8760,12075.75,79600,68369.5,14324.25
