"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar  [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"02.01.2023 17:45 - 02.01.2023 18:00","0","0","","4985","5294","","22280","21056",""
"02.01.2023 18:00 - 02.01.2023 18:15","0","0","","5014","5284","","22282","20996",""
"02.01.2023 18:15 - 02.01.2023 18:30","0","0","","5026","5268","","22331","20966",""
"02.01.2023 18:30 - 02.01.2023 18:45","0","0","","5035","5255","","22419","20970",""
"02.01.2023 18:45 - 02.01.2023 19:00","0","0","","5044","5240","","22559","21046",""
"02.01.2023 19:00 - 02.01.2023 19:15","0","0","","5049","5230","","22717","21152",""
"02.01.2023 19:15 - 02.01.2023 19:30","0","0","","5050","5221","","22675","21112",""
"02.01.2023 19:30 - 02.01.2023 19:45","0","0","","5043","5209","","22548","21006",""
"02.01.2023 19:45 - 02.01.2023 20:00","0","0","","5043","5197","","22389","20865",""
"02.01.2023 20:00 - 02.01.2023 20:15","0","0","","5043","5182","","22187","20656",""
"02.01.2023 20:15 - 02.01.2023 20:30","0","0","","5028","5171","","21952","20427",""
"02.01.2023 20:30 - 02.01.2023 20:45","0","0","","5013","5150","","21711","20204",""
"02.01.2023 20:45 - 02.01.2023 21:00","0","0","","4999","5131","","21468","19988",""
"02.01.2023 21:00 - 02.01.2023 21:15","0","0","","4980","5124","","21225","19784",""
"02.01.2023 21:15 - 02.01.2023 21:30","0","0","","4964","5096","","21025","19545",""
"02.01.2023 21:30 - 02.01.2023 21:45","0","0","","4949","5066","","20827","19309",""
"02.01.2023 21:45 - 02.01.2023 22:00","0","0","","4936","5034","","20613","19067",""
"02.01.2023 22:00 - 02.01.2023 22:15","0","0","","4926","5079","","20121","18574",""
"02.01.2023 22:15 - 02.01.2023 22:30","0","0","","4893","5040","","19863","18392",""
"02.01.2023 22:30 - 02.01.2023 22:45","0","0","","4861","4998","","19604","18214",""
"02.01.2023 22:45 - 02.01.2023 23:00","0","0","","4828","4955","","19341","18034",""
"02.01.2023 23:00 - 02.01.2023 23:15","0","0","","4794","4904","","19077","17848",""
"02.01.2023 23:15 - 02.01.2023 23:30","0","0","","4777","4853","","18809","17651",""
"02.01.2023 23:30 - 02.01.2023 23:45","0","0","","4758","4799","","18540","17455",""
"02.01.2023 23:45 - 03.01.2023 00:00","0","0","","4746","4752","","18276","17264",""
"03.01.2023 00:00 - 03.01.2023 00:15","0","0","","4614","4589","","16970","19041",""
"03.01.2023 00:15 - 03.01.2023 00:30","0","0","","4559","4510","","16724","18562",""
"03.01.2023 00:30 - 03.01.2023 00:45","0","0","","4508","4410","","16473","18382",""
"03.01.2023 00:45 - 03.01.2023 01:00","0","0","","4490","4241","","16217","18354",""
"03.01.2023 01:00 - 03.01.2023 01:15","0","0","","4311","4160","","15936","17869",""
"03.01.2023 01:15 - 03.01.2023 01:30","0","0","","4265","4198","","15657","17455",""
