date,price_AT,price_BE,price_GER,price_NL
2019-01-07 07:00:00,68.61,68.61,68.61,68.61
2019-01-07 08:00:00,74.15,74.15,74.15,74.15
2019-01-07 09:00:00,74.93,74.93,74.93,74.93
2019-01-07 10:00:00,73.59,73.59,73.59,73.59
2019-01-07 11:00:00,71.23,71.23,71.23,71.23
2019-01-07 12:00:00,69.09,70.18,68.79,67.27
2019-01-07 13:00:00,67.24,68.74,66.75,65.14
2019-01-07 14:00:00,64.99,64.6,62.47,62.56
2019-01-07 15:00:00,66.05,59.25,53.25,57.56
2019-01-07 16:00:00,66.06,58.16,53.26,56.99
2019-01-07 17:00:00,66.92,74.0,53.42,72.82
2019-01-07 18:00:00,65.98,53.95,47.91,52.89
2019-01-07 19:00:00,64.98,50.0,42.05,50.0
2019-01-07 20:00:00,65.9,51.0,40.96,51.0
2019-01-07 21:00:00,64.92,44.4,32.04,49.0
2019-01-07 22:00:00,64.09,48.72,20.82,47.54
2019-01-07 23:00:00,46.02,44.4,1.84,44.4
2019-01-08 00:00:00,42.02,37.88,17.94,36.7
2019-01-08 01:00:00,38.06,43.76,20.91,45.56
2019-01-08 02:00:00,39.05,44.5,7.78,39.0
2019-01-08 03:00:00,22.65,30.87,14.33,40.0
2019-01-08 04:00:00,38.05,28.28,18.56,32.8
2019-01-08 05:00:00,40.09,42.0,18.57,43.0
2019-01-08 06:00:00,42.09,54.0,35.81,53.96
2019-01-08 07:00:00,63.97,60.79,43.87,53.0
2019-01-08 08:00:00,64.95,72.7,46.93,59.8
2019-01-08 09:00:00,65.93,67.64,43.88,60.1
2019-01-08 10:00:00,65.93,61.81,43.85,55.89
2019-01-08 11:00:00,65.92,58.55,46.74,53.48
2019-01-08 12:00:00,64.96,49.39,43.94,48.7
2019-01-08 13:00:00,64.93,49.01,43.21,49.01
2019-01-08 14:00:00,64.93,52.38,43.81,52.38
2019-01-08 15:00:00,64.0,52.37,45.6,52.37
2019-01-08 16:00:00,63.99,52.84,35.21,52.84
2019-01-08 17:00:00,63.96,77.35,45.64,78.24
2019-01-08 18:00:00,62.0,55.22,45.63,52.29
2019-01-08 19:00:00,49.02,51.99,37.94,48.38
2019-01-08 20:00:00,46.33,50.1,39.53,50.1
2019-01-08 21:00:00,53.3,51.6,35.97,51.12
2019-01-08 22:00:00,52.69,53.34,29.72,50.66
2019-01-08 23:00:00,42.01,54.98,22.55,46.72
2019-01-09 00:00:00,28.03,45.1,20.04,42.6
2019-01-09 01:00:00,42.0,43.05,7.24,39.5
2019-01-09 02:00:00,41.1,40.41,3.43,37.0
2019-01-09 03:00:00,40.06,35.49,10.04,42.4
2019-01-09 04:00:00,43.01,30.76,14.2,36.42
2019-01-09 05:00:00,43.04,38.53,25.41,42.0
2019-01-09 06:00:00,43.1,50.69,36.98,50.63
2019-01-09 07:00:00,65.0,60.6,43.89,57.51
2019-01-09 08:00:00,64.98,70.39,50.98,66.69
2019-01-09 09:00:00,64.98,74.0,50.3,65.9
2019-01-09 10:00:00,64.99,70.1,50.21,68.2
2019-01-09 11:00:00,65.0,54.68,45.8,54.0
2019-01-09 12:00:00,65.94,51.09,43.64,51.09
2019-01-09 13:00:00,65.93,50.1,43.49,50.1
2019-01-09 14:00:00,65.94,54.16,45.05,52.56
