,1
1275,10.0
1276,15.0
1277,20.0
1278,15.0
1279,10.0
1280,5.0
1281,0.0
1282,5.0
1283,10.0
1284,15.0
1285,20.0
1286,25.0
1287,30.0
1288,35.0
1289,40.0
1290,35.0
1291,30.0
1292,25.0
1293,20.0
1294,15.0
1295,10.0
1296,5.0
1297,0.0
1298,5.0
1299,10.0
1300,15.0
1301,20.0
1302,15.0
1303,10.0
1304,5.0
1305,0.0
1306,5.0
1307,10.0
1308,15.0
1309,20.0
1310,25.0
1311,30.0
1312,35.0
1313,40.0
1314,35.0
1315,30.0
1316,25.0
1317,20.0
1318,15.0
1319,10.0
1320,5.0
1321,0.0
1322,5.0
1323,10.0
1324,15.0
1325,20.0
1326,15.0
1327,10.0
1328,5.0
1329,0.0
1330,5.0
1331,10.0
1332,15.0
1333,20.0
1334,25.0
1335,30.0
1336,35.0
1337,40.0
1338,35.0
1339,30.0
1340,25.0
1341,20.0
1342,15.0
1343,10.0
1344,5.0
1345,0.0
1346,5.0
1347,10.0
1348,15.0
1349,20.0
1350,15.0
1351,10.0
1352,5.0
1353,0.0
1354,5.0
1355,10.0
1356,15.0
1357,20.0
1358,25.0
1359,30.0
1360,35.0
1361,40.0
1362,35.0
1363,30.0
1364,25.0
1365,20.0
1366,15.0
1367,10.0
1368,5.0
1369,0.0
1370,5.0
1371,10.0
1372,15.0
1373,20.0
1374,15.0
1375,10.0
1376,5.0
1377,0.0
1378,5.0
1379,10.0
1380,15.0
1381,20.0
1382,25.0
1383,30.0
1384,35.0
1385,40.0
1386,35.0
1387,30.0
1388,25.0
1389,20.0
1390,15.0
1391,10.0
1392,5.0
1393,0.0
1394,5.0
1395,10.0
1396,15.0
1397,20.0
1398,15.0
1399,10.0
1400,5.0
1401,0.0
1402,5.0
1403,10.0
1404,15.0
1405,20.0
1406,25.0
1407,30.0
1408,35.0
1409,40.0
1410,35.0
1411,30.0
1412,25.0
1413,20.0
1414,15.0
1415,10.0
1416,5.0
1417,0.0
1418,5.0
1419,10.0
1420,15.0
1421,20.0
1422,15.0
1423,10.0
1424,5.0
1425,0.0
1426,5.0
1427,10.0
1428,15.0
1429,20.0
1430,25.0
1431,30.0
1432,35.0
1433,40.0
1434,35.0
1435,30.0
1436,25.0
1437,20.0
1438,15.0
1439,10.0
1440,5.0
1441,0.0
1442,5.0
1443,10.0
1444,15.0
1445,20.0
1446,15.0
1447,10.0
1448,5.0
1449,0.0
1450,5.0
1451,10.0
1452,15.0
1453,20.0
1454,25.0
1455,30.0
1456,35.0
1457,40.0
1458,35.0
1459,30.0
1460,25.0
1461,20.0
1462,15.0
1463,10.0
1464,5.0
1465,0.0
1466,5.0
1467,10.0
1468,15.0
1469,20.0
1470,15.0
1471,10.0
1472,5.0
1473,0.0
1474,5.0
1475,10.0
1476,15.0
1477,20.0
1478,25.0
1479,30.0
1480,35.0
1481,40.0
1482,35.0
1483,30.0
1484,25.0
1485,20.0
1486,15.0
1487,10.0
1488,5.0
1489,0.0
1490,5.0
1491,10.0
1492,15.0
1493,20.0
1494,15.0
1495,10.0
1496,5.0
1497,0.0
1498,5.0
1499,10.0
1500,15.0
1501,20.0
1502,25.0
1503,30.0
1504,35.0
1505,40.0
1506,35.0
1507,30.0
1508,25.0
1509,20.0
1510,15.0
1511,10.0
1512,5.0
1513,0.0
1514,5.0
1515,10.0
1516,15.0
1517,20.0
1518,15.0
1519,10.0
1520,5.0
1521,0.0
1522,5.0
1523,10.0
1524,15.0
1525,20.0
1526,25.0
1527,30.0
1528,35.0
1529,40.0
1530,35.0
1531,30.0
1532,25.0
1533,20.0
1534,15.0
1535,10.0
1536,5.0
1537,0.0
1538,5.0
1539,10.0
1540,15.0
1541,20.0
1542,15.0
1543,10.0
1544,5.0
1545,0.0
1546,5.0
1547,10.0
1548,15.0
1549,20.0
1550,25.0
1551,30.0
1552,35.0
1553,40.0
1554,35.0
1555,30.0
1556,25.0
1557,20.0
1558,15.0
1559,10.0
1560,5.0
1561,0.0
1562,5.0
1563,10.0
1564,15.0
1565,20.0
1566,15.0
1567,10.0
1568,5.0
1569,0.0
1570,5.0
1571,10.0
1572,15.0
1573,20.0
1574,25.0
1575,30.0
1576,35.0
1577,40.0
1578,35.0
1579,30.0
1580,25.0
1581,20.0
1582,15.0
1583,10.0
1584,5.0
1585,0.0
1586,5.0
1587,10.0
1588,15.0
1589,20.0
1590,15.0
1591,10.0
1592,5.0
1593,0.0
1594,5.0
1595,10.0
1596,15.0
1597,20.0
1598,25.0
1599,30.0
1600,35.0
1601,40.0
1602,35.0
1603,30.0
1604,25.0
1605,20.0
1606,15.0
1607,10.0
1608,5.0
1609,0.0
1610,5.0
1611,10.0
1612,15.0
1613,20.0
1614,15.0
1615,10.0
1616,5.0
1617,0.0
1618,5.0
1619,10.0
1620,15.0
1621,20.0
1622,25.0
1623,30.0
1624,35.0
1625,40.0
1626,35.0
1627,30.0
1628,25.0
1629,20.0
1630,15.0
1631,10.0
1632,5.0
1633,0.0
1634,5.0
1635,10.0
1636,15.0
1637,20.0
1638,15.0
1639,10.0
1640,5.0
1641,0.0
1642,5.0
1643,10.0
1644,15.0
1645,20.0
1646,25.0
1647,30.0
1648,35.0
1649,40.0
1650,35.0
1651,30.0
1652,25.0
1653,20.0
1654,15.0
1655,10.0
1656,5.0
1657,0.0
1658,5.0
1659,10.0
1660,15.0
1661,20.0
1662,15.0
1663,10.0
1664,5.0
1665,0.0
1666,5.0
1667,10.0
1668,15.0
1669,20.0
1670,25.0
1671,30.0
1672,35.0
1673,40.0
1674,35.0
1675,30.0
1676,25.0
1677,20.0
1678,15.0
1679,10.0
1680,5.0
1681,0.0
1682,5.0
1683,10.0
1684,15.0
1685,20.0
1686,15.0
1687,10.0
1688,5.0
1689,0.0
1690,5.0
1691,10.0
1692,15.0
1693,20.0
1694,25.0
1695,30.0
1696,35.0
1697,40.0
1698,35.0
1699,30.0
1700,25.0
1701,20.0
1702,15.0
