,1
162,-1.0
163,0.0
164,-0.2476009005213397
165,0.1531097096090351
166,0.2875160576479064
167,0.6952910381380475
168,-1.0
169,0.0
170,1.0
171,1.0
172,1.0
173,1.0
174,-1.0
175,-1.0
176,-1.0
177,-1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,-1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,-1.0
199,-1.0
200,-1.0
201,-1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,-1.0
211,-1.0
212,-1.0
213,-1.0
214,-1.0
215,-1.0
216,0.6507190196177178
217,0.8000116347985361
218,0.8999301889719338
219,1.0
220,0.9586701806578376
221,0.7389590384638416
222,0.2270874791368865
223,-0.4066460634843978
224,-0.7339927221312612
225,-0.6652940505930902
226,-0.4938779368410129
227,-0.4131309420640425
228,-0.2540129690537996
229,-0.1326440161856319
230,-0.1558724712244908
231,-0.2974894280836495
232,-0.5017248720937079
233,-0.9517544341305654
234,-1.0
235,-0.7424649985518565
236,-0.2476009005213397
237,0.1531097096090351
238,0.2875160576479064
239,0.6952910381380475
240,-1.0
241,0.0
242,1.0
243,1.0
244,1.0
245,1.0
246,-1.0
247,-1.0
248,-1.0
249,-1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,-1.0
263,-1.0
264,-1.0
265,-1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,1.0
280,1.0
281,1.0
282,-1.0
283,-1.0
284,-1.0
285,-1.0
286,-1.0
287,-1.0
288,0.6507190196177178
289,0.8000116347985361
290,0.8999301889719338
291,1.0
292,0.9586701806578376
293,0.7389590384638416
294,0.2270874791368865
295,-0.4066460634843978
296,-0.7339927221312612
297,-0.6652940505930902
298,-0.4938779368410129
299,-0.4131309420640425
300,-0.2540129690537996
301,-0.1326440161856319
302,-0.1558724712244908
303,-0.2974894280836495
304,-0.5017248720937079
305,-0.9517544341305654
306,-1.0
307,-0.7424649985518565
308,-0.2476009005213397
309,0.1531097096090351
310,0.2875160576479064
311,0.6952910381380475
312,0.6507190196177178
313,0.8000116347985361
314,0.8999301889719338
315,1.0
316,0.9586701806578376
317,0.7389590384638416
318,0.2270874791368865
319,-0.4066460634843978
320,-0.7339927221312612
321,-0.6652940505930902
322,-0.4938779368410129
323,-0.4131309420640425
324,-0.2540129690537996
325,-0.1326440161856319
326,-0.1558724712244908
327,-0.2974894280836495
328,-0.5017248720937079
329,-0.9517544341305654
330,-1.0
331,-0.7424649985518565
332,-0.2476009005213397
333,0.1531097096090351
334,0.2875160576479064
335,0.6952910381380475
336,-1.0
337,0.0
338,1.0
339,1.0
340,1.0
341,1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,-1.0
355,-1.0
356,-1.0
357,-1.0
358,-1.0
359,-1.0
360,-1.0
361,-1.0
362,1.0
363,1.0
364,1.0
365,1.0
366,-1.0
367,-1.0
368,-1.0
369,-1.0
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,1.0
376,1.0
377,1.0
378,-1.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,0.6507190196177178
385,0.8000116347985361
386,0.8999301889719338
387,1.0
388,0.9586701806578376
389,0.7389590384638416
390,0.2270874791368865
391,-0.4066460634843978
392,-0.7339927221312612
393,-0.6652940505930902
394,-0.4938779368410129
395,-0.4131309420640425
396,-0.2540129690537996
397,-0.1326440161856319
