,1,2,3,4,5,6,7,8,9,10
144,46.03,46.03,46.03,30.75,51.03,30.75,30.75,128.92,46.03,101.3475
145,47.98,47.98,47.98,31.03,50.18,31.03,31.03,118.4,47.98,83.485
146,47.84,47.84,47.84,29.88,48.97,29.88,29.88,103.01,47.84,81.3
147,46.11,46.11,46.11,29.0,46.72,29.0,29.0,101.91,46.11,80.18
148,46.08,46.08,46.08,29.65,46.87,29.65,29.65,101.98,46.08,79.53
149,47.62,47.62,47.62,31.78,50.08,31.78,31.78,114.99,47.62,79.55
150,55.77,55.77,55.77,40.87,57.34,40.87,40.87,140.19,55.77,79.8975
151,68.61,68.61,68.61,49.01,67.8,49.01,49.01,152.64,68.61,91.26
152,74.15,74.15,74.15,51.09,86.51,51.09,51.09,160.97,74.15,104.6525
153,74.93,74.93,74.93,51.12,86.54,51.12,51.12,161.85,74.93,119.7375
154,73.59,73.59,73.59,49.83,85.08,49.83,49.83,161.37,73.59,118.3775
155,71.23,71.23,71.23,49.16,88.74,49.16,49.16,166.06,71.23,97.965
156,68.79,68.79,68.79,48.43,88.76,48.43,48.43,166.54,68.79,83.245
157,66.75,66.75,66.75,47.99,84.31,47.99,47.99,166.04,66.75,81.02
158,62.47,62.47,62.47,47.41,80.4,47.41,47.41,169.43,62.47,80.7425
159,53.25,53.25,53.25,45.87,83.57,45.87,45.87,189.7,53.25,80.575
160,53.26,53.26,53.26,45.9,89.68,45.9,45.9,201.97,53.26,99.3775
161,53.42,53.42,53.42,47.96,100.0,47.96,47.96,243.11,53.42,111.0975
162,47.91,47.91,47.91,48.11,90.43,48.11,48.11,253.81,47.91,120.1275
163,42.05,42.05,42.05,43.63,80.28,43.63,43.63,237.05,42.05,109.0975
164,40.96,40.96,40.96,33.6,66.8,33.6,33.6,224.33,40.96,70.975
165,32.04,32.04,32.04,32.93,60.22,32.93,32.93,213.81,32.04,68.31
166,20.82,20.82,20.82,31.29,59.69,31.29,31.29,185.94,20.82,61.325
167,1.84,1.84,1.84,26.28,52.25,26.28,26.28,148.32,1.84,37.57
168,17.94,17.94,17.94,18.95,50.53,18.95,18.95,164.17,17.94,24.5675
169,20.91,20.91,20.91,4.96,48.43,4.96,4.96,152.83,20.91,24.3875
170,7.78,7.78,7.78,0.1,47.24,0.1,0.1,166.0,7.78,24.0225
171,14.33,14.33,14.33,0.11,45.61,0.11,0.11,160.86,14.33,24.03
172,18.56,18.56,18.56,1.75,46.81,1.75,1.75,160.0,18.56,24.0425
173,18.57,18.57,18.57,20.74,51.57,20.74,20.74,154.3,18.57,24.0525
174,35.81,35.81,35.81,25.57,60.67,25.57,25.57,166.0,35.81,8.9625
175,43.87,43.87,43.87,32.47,79.56,32.47,32.47,182.91,43.87,27.47
176,46.93,46.93,46.93,33.07,103.54,33.07,33.07,215.89,46.93,42.88
177,43.88,43.88,43.88,33.05,110.45,33.05,33.05,231.0,43.88,62.83
178,43.85,43.85,43.85,34.18,109.96,34.18,34.18,228.95,43.85,74.98
179,46.74,46.74,46.74,39.63,106.82,39.63,39.63,215.39,46.74,85.2775
180,43.94,43.94,43.94,41.35,102.37,41.35,41.35,206.68,43.94,84.0725
181,43.21,43.21,43.21,44.83,97.61,44.83,44.83,185.0,43.21,69.1375
182,43.81,43.81,43.81,46.04,95.0,46.04,46.04,169.52,43.81,73.2025
183,45.6,45.6,45.6,46.33,95.42,46.33,46.33,162.8,45.6,85.69
184,35.21,35.21,35.21,47.9,95.0,47.9,47.9,161.34,35.21,91.285
185,45.64,45.64,45.64,51.21,110.0,51.21,51.21,189.9,45.64,135.1625
186,45.63,45.63,45.63,55.92,102.41,55.92,55.92,170.71,45.63,124.275
187,37.94,37.94,37.94,53.69,88.05,53.69,53.69,140.23,37.94,106.66
188,39.53,39.53,39.53,48.1,64.24,48.1,48.1,102.54,39.53,93.8225
189,35.97,35.97,35.97,44.92,59.43,44.92,44.92,102.18,35.97,81.305
190,29.72,29.72,29.72,41.67,57.6,41.67,41.67,102.29,29.72,74.4075
191,22.55,22.55,22.55,39.41,51.75,39.41,39.41,90.05,22.55,69.885
192,20.04,20.04,20.04,34.08,54.73,34.08,34.08,85.03,20.04,66.3675
193,7.24,7.24,7.24,32.2,52.39,32.2,32.2,84.4,7.24,54.3975
194,3.43,3.43,3.43,32.56,51.67,32.56,32.56,80.24,3.43,7.795
195,10.04,10.04,10.04,32.35,50.88,32.35,32.35,55.46,10.04,11.87
196,14.2,14.2,14.2,29.0,50.02,29.0,29.0,49.29,14.2,56.295
197,25.41,25.41,25.41,30.86,49.1,30.86,30.86,50.64,25.41,95.19
198,36.98,36.98,36.98,38.95,49.57,38.95,38.95,74.29,36.98,108.895
199,43.89,43.89,43.89,46.86,53.82,46.86,46.86,84.44,43.89,128.035
200,50.98,50.98,50.98,47.92,59.8,47.92,47.92,97.26,50.98,150.1
201,50.3,50.3,50.3,45.68,66.92,45.68,45.68,119.97,50.3,158.3525
202,50.21,50.21,50.21,43.61,67.71,43.61,43.61,134.96,50.21,161.56
203,45.8,45.8,45.8,40.0,68.0,40.0,40.0,149.4,45.8,161.735
204,43.64,43.64,43.64,37.06,67.01,37.06,37.06,165.13,43.64,141.5
205,43.49,43.49,43.49,33.45,62.53,33.45,33.45,165.06,43.49,130.5375
206,45.05,45.05,45.05,32.2,60.0,32.2,32.2,170.09,45.05,140.9975
207,49.95,49.95,49.95,31.86,60.0,31.86,31.86,189.04,49.95,150.895
208,53.82,53.82,53.82,32.59,62.78,32.59,32.59,190.96,53.82,159.0875
209,55.94,55.94,55.94,42.85,69.92,42.85,42.85,223.3,55.94,156.7425
210,54.19,54.19,54.19,41.73,71.99,41.73,41.73,243.94,54.19,158.035
211,54.19,54.19,54.19,40.31,68.95,40.31,40.31,240.0,54.19,141.7575
212,52.98,52.98,52.98,32.96,62.66,32.96,32.96,230.82,52.98,139.6775
213,51.68,51.68,51.68,30.72,56.54,30.72,30.72,214.02,51.68,117.045
214,48.95,48.95,48.95,31.02,55.81,31.02,31.02,215.88,48.95,107.2175
215,47.63,47.63,47.63,29.14,50.85,29.14,29.14,203.8,47.63,96.53
216,46.48,46.48,46.48,26.94,54.65,26.94,26.94,196.23,46.48,102.7925
217,49.08,49.08,49.08,26.59,51.79,26.59,26.59,191.85,49.08,93.6925
218,47.11,47.11,47.11,25.81,50.58,25.81,25.81,195.91,47.11,86.65
219,48.8,48.8,48.8,25.89,47.98,25.89,25.89,186.66,48.8,81.8875
220,48.5,48.5,48.5,26.2,47.6,26.2,26.2,178.04,48.5,89.885
221,49.8,49.8,49.8,26.95,47.59,26.95,26.95,191.65,49.8,97.465
222,56.97,56.97,56.97,28.95,42.09,28.95,28.95,237.44,56.97,130.425
